# Tipo Finalidade Endereço Bairro Cidade Área Valor IPTU Quartos Suítes Banheiros Vagas Cozinha Sala Varanda Área_de_Serviço Piso Conservação Armários Ar-condicionado Aquecedor Ventilador
casa venda Rua_das_Flores Primavera Alfenas 120 350000 800 3 1 2 2 sim sim sim sim cerâmica usado sim não não sim
apartamento aluguel Avenida_Getúlio_Vargas Centro Alfenas 75 1200 150 2 0 1 1 sim sim sim sim laminado reformado sim sim não não
terreno venda Rua_dos_Ipês Loteamento_Portal_do_Lago Alfenas 300 180000 300 0 0 0 0 não não não não terra novo não não não não
sala_comercial aluguel Rua_Tiradentes Centro Alfenas 45 900 120 0 0 1 0 não sim não não porcelanato novo não sim não não
galpão venda Distrito_Industrial Distrito_Industrial Alfenas 1500 850000 2500 0 0 2 5 sim sim não sim cimento usado não não não não
casa aluguel Rua_das_Acácias Jardim_das_Oliveiras Alfenas 90 1500 200 2 1 2 1 sim sim sim sim cerâmica reformado sim não sim sim
apartamento venda Avenida_João_Pinheiro Centro Alfenas 110 480000 1100 3 1 2 2 sim sim sim sim porcelanato novo sim sim não não
terreno aluguel Estrada_para_Serrania Zona_Rural Alfenas 5000 500 80 0 0 0 0 não não não não terra novo não não não não
sala_comercial venda Praça_Getúlio_Vargas Centro Alfenas 60 250000 350 0 0 1 0 não sim não não cerâmica usado não sim não não
galpão aluguel Rua_da_Saudade Distrito_Industrial Alfenas 800 4000 1800 0 0 1 3 sim sim não sim cimento reformado não não não não
casa temporada Avenida_Beira_Lago Pontal Alfenas 150 300/dia 0 4 2 3 3 sim sim sim sim porcelanato novo sim sim sim sim
apartamento aluguel Rua_Duque_de_Caxias Centro Alfenas 95 1600 220 3 1 2 1 sim sim sim sim laminado usado sim não não sim
terreno venda Estrada_para_Fama Zona_Rural Alfenas 1000 90000 150 0 0 0 0 não não não não terra novo não não não não
sala_comercial aluguel Rua_Coronel_José_Bento Centro Alfenas 30 700 100 0 0 1 0 não sim não não cerâmica reformado não sim não não
